geographic_area,indicator,sex,year,child_labour_percentage,Collection_Point,coverage_time,age_group
 Central Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,21.9,End of fieldwork,2020-24,5 to 17 years old
 Central Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,25.3,End of fieldwork,2020-24,5 to 17 years old
 Central Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,23.6,End of fieldwork,2020-24,5 to 17 years old
 Eastern Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,20.2,End of fieldwork,2020-24,5 to 17 years old
 Eastern Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,21.3,End of fieldwork,2020-24,5 to 17 years old
 Eastern Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,20.7,End of fieldwork,2020-24,5 to 17 years old
 North Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,7.9,End of fieldwork,2020-24,5 to 17 years old
 North Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,13.3,End of fieldwork,2020-24,5 to 17 years old
 North Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,10.6,End of fieldwork,2020-24,5 to 17 years old
 Southern Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,14,End of fieldwork,2020-24,5 to 17 years old
 Southern Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,14.5,End of fieldwork,2020-24,5 to 17 years old
 Southern Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,14.3,End of fieldwork,2020-24,5 to 17 years old
 United Nations Economic Commission for Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,18.8,End of fieldwork,2020-24,5 to 17 years old
 United Nations Economic Commission for Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,20.8,End of fieldwork,2020-24,5 to 17 years old
 United Nations Economic Commission for Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,19.8,End of fieldwork,2020-24,5 to 17 years old
 West Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,24.3,End of fieldwork,2020-24,5 to 17 years old
 West Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,25.9,End of fieldwork,2020-24,5 to 17 years old
 West Africa,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,25.1,End of fieldwork,2020-24,5 to 17 years old
Afghanistan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2023,10.9,End of fieldwork,2022-23,5 to 17 years old
Afghanistan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2023,15.6,End of fieldwork,2022-23,5 to 17 years old
Afghanistan,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2023,13.3,End of fieldwork,2022-23,5 to 17 years old
African Union,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Female,2024,18.8,End of fieldwork,2020-24,5 to 17 years old
African Union,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Male,2024,20.8,End of fieldwork,2020-24,5 to 17 years old
African Union,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Total,2024,19.8,End of fieldwork,2020-24,5 to 17 years old
